COURSEID,NAMECOURSE,PREREQUSITE,PASSSTATUS,YEAR,SEM,COLOR,CREDIT
01418116,ComPro,01418114,0,1,2,Red,3
01418132,"Fund Com",null,0,2,1,Red,4
01418231,"Data Struc",01418116,0,2,1,Blue,3
01418221,Database,01418116,0,2,1,Red,3
01418321,SA,01418221,0,3,1,Green,3
01418351,Network,01418116,0,3,1,Red,3
01418333,Automata,01418132,0,3,2,Red,3
01418497,Seminar,01418232/01418221/01418216,0,3,2,Blue,1
01418343,IP,null,0,3,2,Green,3
01418390,Pre-Project,01418321,0,4,1,Blue,1
01418499,"Coop Ed.",01418399,0,4,2,Green,3
01418490,Project,01418390,0,4,2,Green,3
01418232,Algor,01418231,0,2,2,Green,3
01418216,PPL,01418116,0,2,2,Blue,3
01418399,"Pre Coop",01418321,0,3,2,Blue,3
01418331,Assembly,01418131+01418116,0,3,1,Blue,4
01418114,Intro,null,0,1,1,Blue,1
